<c "#66CCFF">Recipes Listed By Stat (Mana)<br>
=============================================================================<br>
Item&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Trivial&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Stats<br>
=============================================================================</c><br>
<c "#66CCFF"><a HREF="file:///storyline/il/eqtraders/Baking/items/765.txt">Bristlebanes Party Platter</a></c>  &nbsp;&nbsp;&nbsp;&nbsp;(>250)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(STR: 10 STA: 10 AGI: 10 DEX: 10 WIS: 10 INT: 10 HP: 75 MANA: 75)<br>
<c "#66CCFF"><a HREF="file:///storyline/il/eqtraders/Baking/items/552.txt">Vann Toe Stew</a></c>  &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(>250)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(STR: 3 MANA: 45)<br>
<c "#66CCFF"><a HREF="file:///storyline/il/eqtraders/Baking/items/529.txt">Bucket Of Crab Legs</a></c>  &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(>250)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(PR: 5 MR: 5 DR: 5 FR: 5 CR: 5 HP: 40 MANA: 40)<br>
<c "#66CCFF"><a HREF="file:///storyline/il/eqtraders/Baking/items/523.txt">Blood Raven Stew</a></c>  &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(>250)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(STR: 5 HP: 30 MANA: 30)<br>
<c "#66CCFF"><a HREF="file:///storyline/il/eqtraders/Baking/items/536.txt">Hero Sandwich</a></c>  &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(>250)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(STR: 10 STA: 5 AGI: 5 DEX: 5 WIS: 5 INT: 5 HP: 30 MANA: 30)<br>
<c "#66CCFF"><a HREF="file:///storyline/il/eqtraders/Baking/items/503.txt">Mind Worm Steaks</a></c>  &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(188)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(STA: 5 MANA: 30)<br>
<c "#66CCFF"><a HREF="file:///storyline/il/eqtraders/Baking/items/387.txt">Misty Thicket Picnic</a></c>  &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(>250)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(STR: 5 STA: 5 WIS: 5 INT: 5 HP: 20 MANA: 30)<br>
<c "#66CCFF"><a HREF="file:///storyline/il/eqtraders/Baking/items/551.txt">Triloun Tail Soup</a></c>  &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(>250)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(FR: 10 CR: 10 HP: 30 MANA: 30)<br>
<c "#66CCFF"><a HREF="file:///storyline/il/eqtraders/Baking/items/539.txt">Justice Fruit Pie</a></c>  &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(>250)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(STA: 5 DEX: 15 WIS: 5 HP: 15 MANA: 15)<br>
<c "#66CCFF"><a HREF="file:///storyline/il/eqtraders/Baking/items/538.txt">Jord Meat Pie</a></c>  &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(>250)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(HP: 10 MANA: 10)<br>
<c "#66CCFF"><a HREF="file:///storyline/il/eqtraders/Baking/items/541.txt">Mephit Sandwich</a></c>  &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(>250)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(WIS: 5 HP: 10 MANA: 10)<br>
